Date= seg 27 dez 2021 19:46:04 -03
Folder=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap
SubFolder=iedir/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr
Gold File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/gold_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval.txt
Predict File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/predict_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval_1_true_1-step-step.txt
Database=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/database
Type=match
Command example:
python3 evaluation.py --gold=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/gold_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval.txt --pred=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/predict_mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr-train_FIT-en-pt-es-fr-eval_1_true_1-step150300.txt --db=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/database --table=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-FIT-en-pt-es-fr/tables.json --etype match --plug_value |& tee /mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr/spider_eval_match_ratsqlgap-mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval-step150300.txt
====================== EXACT MATCHING ACCURACY =====================
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr - - - count 992 1784 696 664 4136
Train_Infer checkpoint type type easy medium hard extra all
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 105100 exact match 0.856 0.705 0.527 0.404 0.663
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 106100 exact match 0.894 0.706 0.523 0.411 0.673
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 107100 exact match 0.880 0.719 0.529 0.411 0.676
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 108100 exact match 0.885 0.703 0.516 0.407 0.668
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 109100 exact match 0.888 0.714 0.545 0.417 0.679
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 110100 exact match 0.889 0.716 0.572 0.410 0.684
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 111100 exact match 0.890 0.704 0.536 0.438 0.678
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 112100 exact match 0.880 0.697 0.556 0.414 0.672
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 113100 exact match 0.879 0.709 0.527 0.389 0.668
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 114100 exact match 0.879 0.730 0.546 0.431 0.687
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 115100 exact match 0.883 0.705 0.530 0.408 0.671
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 116100 exact match 0.895 0.725 0.526 0.420 0.683
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 117100 exact match 0.882 0.715 0.552 0.414 0.679
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 118100 exact match 0.901 0.723 0.562 0.419 0.690
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 119100 exact match 0.884 0.730 0.536 0.432 0.687
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 120100 exact match 0.890 0.737 0.545 0.440 0.693
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 121100 exact match 0.882 0.726 0.530 0.416 0.681
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 122100 exact match 0.888 0.738 0.522 0.431 0.688
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 123100 exact match 0.882 0.749 0.543 0.417 0.693
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 124100 exact match 0.892 0.744 0.549 0.428 0.696
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 125100 exact match 0.889 0.752 0.552 0.450 0.703
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 126100 exact match 0.878 0.727 0.560 0.437 0.689
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 127100 exact match 0.888 0.717 0.562 0.425 0.685
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 128100 exact match 0.889 0.732 0.526 0.449 0.690
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 129100 exact match 0.869 0.736 0.534 0.428 0.684
mT5-large-NoGAP-150Ksteps-FIT-en-pt-es-fr-extra-3enr-3ptr-3esr-3frr_en-pt-es-fr-eval 130100 exact match 0.880 0.738 0.522 0.419 0.684
